"scenario_id","message_order","text","image","is_fake","suspicion_note"
"s1","1","氣象署：明日玉山溫度 6-10°C，非常寒冷，陰短暫陣雨或雷雨。","assets/images/scenarios/s1/s1_msg1.webp","false","正式來源、平實用詞"
"s1","2","東北季風增強降溫，中南部日夜溫差大。","assets/images/scenarios/s1/s1_msg2.webp","false","專業播報、適度警示"
"s1","3","快訊！超級颱風來襲！教育部已決定全臺停課三天！","assets/images/scenarios/s1/s1_msg3.webp","true","用詞「超級颱風」太誇大、「全臺停課三天」太絕對、缺乏官方來源"
"s1","4","校長公告：明日因天氣因素，本校決定停課一天","assets/images/scenarios/s1/s1_msg4.webp","true","沒有學校徽章、排版不正規、來源不明"
"s1","5","氣象署發布大雨特報，易有短延時強降雨。","assets/images/scenarios/s1/s1_msg5.webp","false","正式警報、清楚來源"
"s2","1","博幼二十有你支持，線上捐款。","assets/images/scenarios/s2/s2_msg1.webp","false","知名機構團體、清楚說明用途"
"s2","2","企業捐贈1000臺平板給偏鄉小學，詳請點連結申請","assets/images/scenarios/s2/s2_msg2.webp","true","企業名稱模糊、有「點連結」陷阱、故事過於完美"
"s2","3","活體物資募資","assets/images/scenarios/s2/s2_msg3.webp","false","知名公益、有正式管道"
"s2","4","愛心大使招募，填表即可領禮物！","assets/images/scenarios/s2/s2_msg4.webp","true","用「禮物」誘餌、要填個資，是常見詐騙手法"
"s2","5","公益贈書活動","assets/images/scenarios/s2/s2_msg5.webp","false","合理的贈書事件，政府機關"
"s3","1","文具店：開學季購書享 8 折優惠","assets/images/scenarios/s3/s3_msg1.webp","false","合理的折扣、有實體店面"
"s3","2","恭喜！您獲得免費 iPhone 15！點選連結領取！","assets/images/scenarios/s3/s3_msg2.webp","true","免費 + 點連結 = 詐騙標配"
"s3","3","學校宣布：本週舉辦書展，學生憑學生證入場","assets/images/scenarios/s3/s3_msg3.webp","false","學校官方活動"
"s3","4","豪華禮物等你領！只要按讚分享，免費送！","assets/images/scenarios/s3/s3_msg4.webp","true","要求按讚分享、誘餌詐騙"
"s3","5","家扶基金會：歡迎民眾贈送舊文具給弱勢學童","assets/images/scenarios/s3/s3_msg5.webp","false","公益機構、合理的請求"
