"asset_id","scenario_id","asset_type","target_size","description","midjourney_prompt","dalle_prompt","status","final_path"
"s2_main","s2","scenario_main","1600x900 PNG","假颱風停課新聞網頁截圖（內含 3 個破綻）","A fake news web article screenshot showing emergency typhoon school closure announcement, red warning colors, exaggerated alert text in Traditional Chinese 超級颱風來襲！教育部已決定全臺停課三天！, missing or non-official identity marker in top-left around (11%, 14%), irregular typography concentrated in lower-middle area around (52%, 74%) including odd X-number wording, suspicious timestamp mismatch in bottom-right around (88%, 95%), news website interface style, amateur quality with 3 intentional design flaws, photorealistic web screen --ar 16:9 --v 6","請生成一張看起來像假新聞轉傳／新聞頁截圖的圖。主文案可為停課通知。3 個故意破綻位置：(1) 左上約 (11%, 14%) 使用灰色頭像或非官方識別，缺少正式新聞台/學校標誌；(2) 中央偏下約 (52%, 74%) 文字排版凌亂、字型不一致，並可出現不自然「X號」字樣；(3) 右下約 (88%, 95%) 發布日期時間與「明日停課」說法對不上（例如錯誤日期格式）。16:9 橫式比例。","待生成","assets/images/scenarios/s2/s2_main.webp"
"s2_zoom_B2-01","s2","breakpoint_zoom","400x400 PNG","破綻 B2-01 左上來源身分異常（裁切自主圖左上區域）","(post-production: crop and enlarge from s2_main top-left around (11%, 14%) with red box annotation)","(後製：從主圖 s2_main 左上約 (11%, 14%) 區域裁切放大，加上紅框標示)","後製","assets/images/scenarios/s2/s2_zoom_B2-01.webp"
"s2_zoom_B2-02","s2","breakpoint_zoom","400x400 PNG","破綻 B2-02 中央下方排版不規則（裁切自主圖中央偏下）","(post-production: crop and enlarge from s2_main lower-middle around (52%, 74%) with red box annotation)","(後製：從主圖 s2_main 中央偏下約 (52%, 74%) 區域裁切放大，加上紅框標示)","後製","assets/images/scenarios/s2/s2_zoom_B2-02.webp"
"s2_zoom_B2-03","s2","breakpoint_zoom","400x400 PNG","破綻 B2-03 右下日期時間可疑（裁切自主圖右下）","(post-production: crop and enlarge from s2_main bottom-right around (88%, 95%) with red box annotation)","(後製：從主圖 s2_main 右下約 (88%, 95%) 區域裁切放大，加上紅框標示)","後製","assets/images/scenarios/s2/s2_zoom_B2-03.webp"
"s4_main","s4","scenario_main","1600x900 PNG","偽溫馨捐贈新聞（內含 3 個破綻）","Heartwarming fake news photo showing schoolchildren receiving tablets from a fake corporate donation event, Asian Taiwanese elementary students smiling holding iPads, classroom setting. 3 intentional flaws: (1) corporate banner in background around (75%, 20%) has distorted unreadable logo; (2) at least one student around (40%, 60%) has AI-generated hand imperfections with extra fingers; (3) background classroom edges around (20%, 50%) show blending artifacts melting into walls. Warm lighting, subtle uncanny valley effects, photorealistic but suspicious detail flaws --ar 16:9 --v 6","請生成一張看起來溫馨但實際上是 AI 偽造的捐贈新聞照片。場景：教室裡幾位台灣國小學生開心地拿著平板。3 個故意的破綻位置：(1) 右上約 (75%, 20%) 背景看板上的企業 LOGO 模糊變形不對勁；(2) 中下約 (40%, 60%) 某位學生的手部細節異常（手指多 1 根或角度怪）；(3) 中左約 (20%, 50%) 教室背景的桌椅邊界融合模糊。溫暖光線但有 AI 痕跡，16:9 橫式比例。","待生成","assets/images/scenarios/s4/s4_main.webp"
"s4_zoom_B4-01","s4","breakpoint_zoom","400x400 PNG","破綻 B4-01 企業 LOGO 不對勁","(post-production: crop and enlarge from s4_main top-right around (75%","20%))","(後製：從主圖 s4_main 右上約 (75%","20%) 區域裁切放大)"
"s4_zoom_B4-02","s4","breakpoint_zoom","400x400 PNG","破綻 B4-02 手部細節異常","(post-production: crop and enlarge from s4_main mid-right around (40%","60%))","(後製：從主圖 s4_main 中下約 (40%","60%) 區域裁切放大)"
"s4_zoom_B4-03","s4","breakpoint_zoom","400x400 PNG","破綻 B4-03 背景融合痕跡","(post-production: crop and enlarge from s4_main mid-left around (20%","50%))","(後製：從主圖 s4_main 中左約 (20%","50%) 區域裁切放大)"
"s5_main","s5","scenario_main","1600x900 PNG","免費 iPhone 詐騙廣告（內含 3 個破綻）","Scam advertisement showing a giant golden gift box with an iPhone 15 floating above it. Text overlay FREE iPhone 15 立即領取. 3 intentional flaws: (1) the gift box in center around (50%, 45%) has too-perfect glossy unrealistic material and unnatural reflections; (2) the iPhone screen around (50%, 30%) has distorted app icons and blurry screen content; (3) bottom area around (50%, 80%) objects appear to float without natural shadows or contact with background. Bright unnatural over-saturated colors, suspicious style, photorealistic but unsettling --ar 16:9 --v 6","請生成一張看起來像詐騙廣告的圖片。中央有一個閃亮誇張的金色禮物盒，上方浮著一台 iPhone 15，文字「免費 iPhone 15！立即領取！」。3 個故意的破綻位置：(1) 中央約 (50%, 45%) 禮物盒材質太完美、反光不真實；(2) 上方約 (50%, 30%) iPhone 螢幕上的 App 圖示模糊變形；(3) 下方約 (50%, 80%) 物體底部沒有自然陰影，像漂浮在空中。整體色彩過度飽和不自然，16:9 橫式比例。","待生成","assets/images/scenarios/s5/s5_main.webp"
"s5_zoom_B5-01","s5","breakpoint_zoom","400x400 PNG","破綻 B5-01 禮物盒太完美","(post-production: crop and enlarge from s5_main center around (50%","45%))","(後製：從主圖 s5_main 中央約 (50%","45%) 區域裁切放大)"
"s5_zoom_B5-02","s5","breakpoint_zoom","400x400 PNG","破綻 B5-02 iPhone 螢幕怪怪的","(post-production: crop and enlarge from s5_main upper area around (50%","30%))","(後製：從主圖 s5_main 上方約 (50%","30%) 區域裁切放大)"
"s5_zoom_B5-03","s5","breakpoint_zoom","400x400 PNG","破綻 B5-03 物體像漂在空中","(post-production: crop and enlarge from s5_main bottom around (50%","80%))","(後製：從主圖 s5_main 下方約 (50%","80%) 區域裁切放大)"
"s2_msg4_zoom_B2-01","s2","breakpoint_zoom","400x400 PNG","s2_msg4 破綻 B2-01 左上來源頭像非官方","(post-production: crop and enlarge from s2_msg4 top-left around (10%, 29%) with red box annotation)","(後製：從 s2_msg4 左上約 (10%, 29%) 區域裁切放大，加上紅框標示)","後製","assets/images/scenarios/s2/s2_msg4_zoom_B2-01.webp"
"s2_msg4_zoom_B2-02","s2","breakpoint_zoom","400x400 PNG","s2_msg4 破綻 B2-02 中央排版不正規且無校徽","(post-production: crop and enlarge from s2_msg4 mid-area around (36%, 55%) with red box annotation)","(後製：從 s2_msg4 中央約 (36%, 55%) 區域裁切放大，加上紅框標示)","後製","assets/images/scenarios/s2/s2_msg4_zoom_B2-02.webp"
"s2_msg4_zoom_B2-03","s2","breakpoint_zoom","400x400 PNG","s2_msg4 破綻 B2-03 右下日期時間對不上","(post-production: crop and enlarge from s2_msg4 bottom-right around (56%, 79%) with red box annotation)","(後製：從 s2_msg4 右下約 (56%, 79%) 區域裁切放大，加上紅框標示)","後製","assets/images/scenarios/s2/s2_msg4_zoom_B2-03.webp"
