asset_id,scenario_id,is_fake,message_text,target_size,midjourney_prompt,dalle_prompt,status,final_path
s1_msg1,s1,false,氣象署：明日北部低溫 15°C，陰天有雨,800x600 PNG,"Taiwan Central Weather Bureau official mobile app screenshot showing 明日北部低溫 15°C 陰天有雨, clear official bureau logo top-left, tidy professional typography, accurate timestamp, clean blue and white interface, photorealistic mobile screen, 4:3 ratio --ar 4:3 --v 6","台灣中央氣象署官方手機 App 截圖，顯示「明日北部低溫 15°C 陰天有雨」，左上角有清楚的氣象署徽章、整齊專業排版、正確的時間戳記，乾淨的藍白介面，4:3 比例",待生成,assets/images/scenarios/s1/s1_msg1.webp
s1_msg2,s1,false,東北季風南下，沿海風力 3-4 級,800x600 PNG,"TV weather broadcast scene with professional Taiwanese meteorologist presenter announcing 東北季風南下 沿海風力 3-4 級, news studio background with weather map graphics, professional broadcast aesthetic, 4:3 ratio --ar 4:3 --v 6","台灣電視氣象播報畫面，專業氣象主播播報「東北季風南下，沿海風力 3-4 級」，背景有氣象圖卡，專業新聞台風格，4:3 橫式比例",待生成,assets/images/scenarios/s1/s1_msg2.webp
s1_msg3,s1,true,快訊！超級颱風來襲！教育部已決定全臺停課三天！,800x600 PNG,(Use scaled-down version of s1_main),(使用主圖 s1_main 的縮小版),待生成,assets/images/scenarios/s1/s1_msg3.webp
s1_msg4,s1,true,校長公告：明日因天氣因素，本校決定停課一天,800x600 PNG,"Phone LINE group chat screenshot showing a forwarded image of fake 校長公告 about school closure, image has NO school logo, messy uneven typography, sender avatar is default gray circle with no name, suspicious feel, 4:3 ratio --ar 4:3 --v 6","手機 LINE 群組對話截圖，顯示一張被轉傳的假「校長公告」圖片，圖中沒有學校徽章、文字排版凌亂大小不一、傳送者頭像是預設灰色圓圈無名字，可疑感，4:3 比例",待生成,assets/images/scenarios/s1/s1_msg4.webp
s1_msg5,s1,false,中央氣象署發布豪雨特報，請民眾注意,800x600 PNG,"Taiwan Central Weather Bureau official heavy rain warning notification with full official logos, clear timestamp, formal alert layout, official red-orange warning color, 4:3 ratio --ar 4:3 --v 6","台灣中央氣象署官方豪雨特報通知，含完整官方標誌、清楚時間戳、正式警報版面，官方紅橘警示色，4:3 比例",待生成,assets/images/scenarios/s1/s1_msg5.webp
s2_msg1,s2,false,紅十字會募款救助受災家庭,800x600 PNG,"Taiwan Red Cross Society official fundraising poster with formal red cross logo, clear donation purpose explanation, professional design, traditional chinese text, 4:3 ratio --ar 4:3 --v 6","台灣紅十字會官方募款海報，有正式紅十字徽章、清楚說明募款用途、專業設計、繁體中文，4:3 比例",待生成,assets/images/scenarios/s2/s2_msg1.webp
s2_msg2,s2,true,某企業捐贈 100 臺平板給偏鄉小學！詳情點此,800x600 PNG,(Use scaled-down version of s1_main),(使用主圖 s1_main 的縮小版),待生成,assets/images/scenarios/s2/s2_msg2.webp
s2_msg3,s2,false,家扶基金會：歡迎民眾參與認養計畫,800x600 PNG,"Taiwan TFCF Foundation child sponsorship program announcement poster with clear foundation logo and contact info, warm professional design, traditional chinese, 4:3 ratio --ar 4:3 --v 6","家扶基金會認養計畫公告海報，有清楚的基金會徽章和聯絡資訊、溫暖專業的設計、繁體中文，4:3 比例",待生成,assets/images/scenarios/s2/s2_msg3.webp
s2_msg4,s2,true,愛心企業招募『愛心大使』推廣捐款，填表即可領禮物！,800x600 PNG,"Brightly colored gaudy 愛心大使招募 recruitment advertisement emphasizing 填表即可領禮物 with suspicious personal info form fields, garish rainbow colors, scam-style design, 4:3 ratio --ar 4:3 --v 6","色彩繽紛誇張的「愛心大使招募」廣告，強調「填表即可領禮物」，有可疑的個資填表欄位、刺眼的彩虹色調、詐騙風格設計，4:3 比例",待生成,assets/images/scenarios/s2/s2_msg4.webp
s2_msg5,s2,false,學校感謝家長對校務的參與,800x600 PNG,"Principal giving a certificate of appreciation to a parent representative in a Taiwanese elementary school, realistic photo style, natural warm lighting, ordinary school setting, 4:3 ratio --ar 4:3 --v 6","台灣國小校長頒發感謝狀給家長代表的真實照片風格，自然溫暖的光線，平實的校園場景，4:3 比例",待生成,assets/images/scenarios/s2/s2_msg5.webp
s3_msg1,s3,false,國際博物館日免費參觀！,800x600 PNG,"Taiwan International Museum Day free admission official announcement poster, reasonable plain design with museum or government department logo, traditional chinese, 4:3 ratio --ar 4:3 --v 6","「國際博物館日免費參觀！」博物館/政府機構官方公告海報，合理平實的設計，有博物館或主辦單位徽章，繁體中文，4:3 比例",已生成,assets/images/scenarios/s3/s3_msg1.webp
s3_msg2,s3,true,恭喜！免費獲得 iPhone 17！限時24小時領取！,800x600 PNG,"Scam advertisement screenshot with title 恭喜！免費獲得 iPhone 17！限時 24 小時領取！ countdown timer at top emphasizing urgency, a button 不需支付費用 at the middle, a QR Code at bottom right with no brand or vendor identification, photorealistic but suspicious style 4:3 ratio --ar 4:3 --v 6","詐騙廣告截圖：標題「恭喜！免費獲得 iPhone 17！限時 24 小時領取！」、上方有倒數計時強調緊迫感、中間有「不需支付費用」按鈕、右下角放 QR Code 但完全沒有任何品牌或廠商標示，看起來像詐騙風格，4:3 比例",已生成,assets/images/scenarios/s3/s3_msg2.webp
s3_msg3,s3,false,免費補助臼齒窩溝封填！,—,（純文字訊息，無對應圖片）,（純文字訊息，無對應圖片）,純文字無圖,—
s3_msg4,s3,true,豪華禮物等你領！按讚分享，免費送！,800x600 PNG,"Another scam ad with title 豪華禮物等你領！按讚分享，免費送！ emphasizing 數量有限送完為止 and 完全免費 0 元帶回家, piles of luxury gifts with unrealistic sparkle effects, social media share buttons prominent, obvious lure scam style, 4:3 ratio --ar 4:3 --v 6","詐騙廣告：標題「豪華禮物等你領！按讚分享，免費送！」、強調「數量有限，送完為止」「完全免費，0 元帶回家」、誇張的奢華禮物堆與不真實的閃光效果、按讚分享圖示明顯，典型誘餌詐騙風格，4:3 比例",已生成,assets/images/scenarios/s3/s3_msg4.webp
s3_msg5,s3,false,回收有理，環保換宣導品！,800x600 PNG,"Taiwan environmental recycling event poster 回收有理 環保換宣導品 by government environmental protection department, formal warm design with official department logo and contact info, 4:3 ratio --ar 4:3 --v 6","環保回收活動海報「回收有理，環保換宣導品！」由政府環保單位主辦，有環保署徽章與聯絡資訊、正式溫暖的設計，4:3 比例",已生成,assets/images/scenarios/s3/s3_msg5.webp
