"scenario_id","source_message_order","breakpoint_id","center_x_pct","center_y_pct","tolerance_pct","title","description","zoom_image"
"s1","3","B1-01","5","20","4.5","沒有官方標誌","真正的官方新聞會有清楚的官方識別（新聞台／學校／政府單位標誌）。\n這類假訊息常在左上角放灰色頭像、模糊圖示，或直接缺少正式標誌。\n💡 記住：先看來源身分，再看內容！","assets/images/scenarios/s1/s1_zoom_B1-01.webp"
"s1","3","B1-02","38","86","6.5","文字排版不規則","正式公告的字體大小、字距、行距通常一致。\n假圖常出現中央偏下區塊排版凌亂、字型混雜，甚至夾雜不自然字樣（如「X號」）。\n💡 記住：排版越亂，越要提高警覺！","assets/images/scenarios/s1/s1_zoom_B1-02.webp"
"s1","3","B1-03","90","95","3.5","時間戳記可疑","仔細看右下角發布日期與時間，是否和「明日停課」說法一致。\n假圖常出現不存在日期（如 2025/13/45）或時間邏輯不通。\n💡 記住：日期時間對不上，就是重要警訊！","assets/images/scenarios/s1/s1_zoom_B1-03.webp"
"s1","4","B1-04","10","30","6.0","來源頭像非官方","左上角是灰色轉傳頭像，缺少正式新聞台或學校識別，來源可信度不足。\n💡 記住：先看發訊來源是不是官方帳號。","assets/images/scenarios/s1/s1_zoom_B1-04.webp"
"s1","4","B1-05","39","53","7.5","公告排版不正規","中間公告字體大小不一致、排版凌亂，且看不到學校正式徽章。\n💡 記住：正式公告通常有固定版型與單位識別。","assets/images/scenarios/s1/s1_zoom_B1-05.webp"
"s1","4","B1-06","44","81","3.5","日期時間前後矛盾","右下角時間與「明日停課」說法對不起來，屬於時間邏輯錯誤。\n💡 記住：日期、時間、事件先後要能互相對上。","assets/images/scenarios/s1/s1_zoom_B1-06.webp"
"s2","2","B2-01","82.49","9.99","9.85","企業 LOGO 不對勁","仔細看背景看板上的企業標誌，你發現什麼了嗎？\n字母好像不對、顏色微妙不對、形狀也有點怪。\nAI 很難精確複製真實的品牌標誌，詐騙者用這種方法假冒大企業。\n💡 記住：真正的企業捐贈會有清楚正確的品牌標誌！","assets/images/scenarios/s2/s2_zoom_B2-01.webp"
"s2","2","B2-02","38.23","65.79","5.32","手部細節異常","數一數圖片中學生的手指，或看看他們握平板的方式，是不是有點不自然？\nAI 生成圖片最常出錯的地方就是手指（常常多 1 根或少 1 根）、或者物品和身體的接觸方式。\n💡 記住：手部和細節是 AI 圖片的破綻！","assets/images/scenarios/s2/s2_zoom_B2-02.webp"
"s2","2","B2-03","7.46","46.87","7.49","背景融合痕跡不正常","看看教室的桌子、椅子、地板的交界處，是不是有「融化」、「模糊」的感覺？\nAI 在處理多個物體的邊界時容易出錯，讓物品看起來像被「P」上去的。\n💡 記住：真實照片的物體邊界清晰銳利！","assets/images/scenarios/s2/s2_zoom_B2-03.webp"
"s2","4","B2-04","45.27","68.78","21.62","不合理索取敏感個資","填表單問到身分證、住址、家長電話等敏感資訊，遠超出正常活動需要的範圍。\n💡 記住：問太多隱私 = 多半是詐騙！","assets/images/scenarios/s2/s2_zoom_B2-04.webp"
"s2","4","B2-05","85.91","5.02","4.88","主辦單位名稱不明","廣告沒有正式的企業註冊名、統編、聯絡方式，只有模糊的「愛心企業」字樣。\n💡 記住：查不到的單位 = 不要報名！","assets/images/scenarios/s2/s2_zoom_B2-05.webp"
"s2","4","B2-06","15.68","90.38","9.58","沒有隱私權政策說明","填表單只顯示「請掃描 QR Code 填表」，沒有隱私權政策、資料用途說明這類保護告知。\n💡 記住：沒寫怎麼用你的資料 = 別填！","assets/images/scenarios/s2/s2_zoom_B2-06.webp"
"s3","2","B3-01","38.79","21.09","10.5","活動限時時間緊迫","『限時 24 小時！』這類倒數時間是詐騙常見手法，目的是逼你不假思索快點點下去。\n真實活動的時間會清楚標示主辦單位與正式期限，不會用施壓口吻。\n💡 記住：越急著要你做決定 = 越可能是詐騙！","assets/images/scenarios/s3/s3_zoom_B3-01.webp"
"s3","2","B3-02","65.29","20.93","14.5","不需支付費用","強調『不需支付任何費用』反而是警訊。\n正常的活動不會特別強調這件事，因為對方在用「免費」吸引你忽略風險。\n💡 記住：刻意強調免費的，多半在偷你的個資或時間！","assets/images/scenarios/s3/s3_zoom_B3-02.webp"
"s3","2","B3-03","84.04","81.08","13.2","沒有品牌或廠商標示，只有 QR Code","只附一個 QR Code 跟「馬上領取」，沒有任何公司名稱、聯絡方式、活動細則。\n正常廠商活動會清楚標出誰主辦、怎麼聯絡。\n💡 記住：QR Code 是詐騙最愛用的入口，不要隨便掃！","assets/images/scenarios/s3/s3_zoom_B3-03.webp"
"s3","4","B3-04","50","14","20","『按讚分享免費送』典型話術","要求你按讚／分享才能領取的訊息，幾乎都是用來擴散假廣告的詐騙手法。\n你幫忙散播 → 對方騙到更多人。\n💡 記住：要你幫忙散播的「好康」十之八九有問題！","assets/images/scenarios/s3/s3_zoom_B3-04.webp"
"s3","4","B3-05","87.42","73.83","12.25","數量有限營造限量","『數量有限，送完為止』是製造緊張感的話術，逼你立刻行動、來不及思考。\n真實的好康不會用這種催促語氣。\n💡 記住：強調限量 + 倒數 = 詐騙手法！","assets/images/scenarios/s3/s3_zoom_B3-05.webp"
"s3","4","B3-06","88.62","25.39","11.29","完全免費不合邏輯","『完全免費，0 元帶回家』— 想想看，真有那麼好的事嗎？\n豪華禮物的成本誰要付？背後一定有想從你身上拿走的東西（個資、點數、信用卡）。\n💡 記住：天下沒有白吃的午餐！","assets/images/scenarios/s3/s3_zoom_B3-06.webp"
